e35d,"<X1e>ハンス<X04>
<IF01fa><JUMPe66e><SET01fa>私がこの国の大統領ハンスですが、
どちらさまですかな ？

<CH3>
何 気取ってんだよ、ハンス。
おれだよ おれ、ゲイルだよ。

<X1e>ハンス<X04>
おお、ゲイルか 久しぶりだなぁ。
おれなぁ とうとう 大統領に
なったんだぜ。

<CH3>
ああ 聞いてるよ。
よかったな 子供のころからずっと
大統領になるって 言ってたからな。

<X1e>ハンス<X04>
ああ そうだよ。
でも最近 国中の若い娘が 誘拐されて困ってるんだ。

それで自分で その原因を 調べてたらどうやら バジールという バケモノの仕業らしいって わかったんだ。

そのバジールってバケモノが
この水晶の塔に いるってことまでは
つきとめたんだ。

今、水晶の塔に行く 準備を進めて
いるところなんだ。

<CH3>
そうか、おれたちも手伝うぜ。

<X1e>ハンス<X04>
ありがとう、しかし 民間人の
君たちを 使うことは 出来ない。
ここは我々に まかせてくれ。

<CH3>
民間人ねぇ。
まあ お前が そう言うなら
まかせるよ。<END>
<LOCe66e>もうじき この国も 他の国のように
平和になるさ。まかせてくれ。

なんでも 他の国では 王子さまが
大活躍をして バケモノから
解放されたと 聞く。

私も大統領だ へなちょこ王子さま
なんかには 負けてられないよ。"
e737,"<X1e>兵士<X04>
民間人は じゃまだ。
あっちへ行っていろ。"
e767,"<X1e>兵士<X04>
我々が 出動すれば バケモノなんて
ひとひねりさ。"
e79e,"<IF_NOT01e2><JUMPe767><X1e>兵士<X04>
お前ら 今まで おれたちが ただ飯を
食っていると 思ってただろ。

兵隊なんていっても、大雨の時の
堤防作りぐらいしか してないと
思ってただろ。

おれには わかるんだ。なんせ 兵士になる前は おれも そう思ってたからな。"
e87c,"<X1e>ジーラ<X04>
<IF01f4><JUMPe93a>うちの息子が 不眠症なんじゃ。

夜になると 自分が 寝られないもんでわざわざ わしの所に来て わしまで
寝かせてくれんのじゃよ。

おかげで いつも寝不足じゃわい。
ふぁーあ 眠い 眠い。<END>
<LOCe93a>ありがとう 旅の方、これで わしも
ゆっくりと 寝ることが できるわい。"
e97e,"<X1e>男<X04>
<IF01f4><JUMPeab7><IF01f3><JUMPea97><IF0402><JUMPe9ce><SET01f2>やあ なんの用だ ？
最近 不眠症で ずっと寝てないんだ。<END>
<LOCe9ce>えっ なんだ こりゃ !? 眠り草ねえ。<WAIT>
ほんとに 眠れるように なるのか？
まあ いいや ちょっと かしてくれ。

<ASMeb27><SET01f3><SET0404><X0e><X1c>を渡しました。<X0c0301><X04>

うえっ 苦いなあ ･ ･ ･
あっ でも なんか眠くなったような
気が するな。<END>
<LOCea97><SET01f4>あー 頭が すっきりした。
<CALLeaf5><END>
<LOCeab7><CALLeaf5><IF0408><JUMPeac7><IF0409><JUMPeac7><END>
<LOCeac7><SET0400>

お前らも 寝てみろよ 頭が
すっきりするぞ。"
eaf5,"やっぱり 人間にとって
一番大切なのは 睡眠だよな。<RET_IL>"
eb2f,"<X1e>男<X04>
なっ 頭が すっきりしただろ？"
eb51,"<X1e>補佐官<X04>
<IF_NOT01e2><JUMPeba2>大統領は 勇敢な方です。
きっと バケモノを 退治して
くださいます。<END>
<LOCeba2>大統領は ただ今 外出中です。
また、おこしください。"
ebd6,"<X1e>役人<X04>
兵士たちは はしゃいでいるけど
兵隊が 出動するとなると いろいろと手続きが 必要なんだ。

ああ、忙しい 忙しい。"
ec49,"<X1e>役人<X04>
ここは 大統領専用の寝室だ
むやみに 立ち入ってはならん。"
ec88,"<X1e>役人<X04>
ふぅ ･ ･ ･ お役所仕事も 疲れるよ。こうやって 一日中 ボーっと
してなけりゃ ならないんだもんな。

え、うしろの奴を 手伝ってやれ ？
バカ言っちゃ いけないよ。
役所と言うのは 仕事の分担が
きびしいんだ。

いくら 人手が足りなくても いくら
自分が暇でも 決して他人の仕事は
手伝わないんだ。役所ってのは
そういった所なんだよ。"
edc9,"<X1e>役人<X04>
ここの お役所は 男女差別が
ひどいのよ。

あたしなんか いつも お茶くみばかりさせられてるの。
まったく、頭にきちゃうわ。
男と女、どちらが えらいって言うの。"
ee6a,"<X1e>女<X04>
まったく 役人って 融通が
きかないわよね。

町の道具屋さんで お野菜を売って
くれるように 頼みに行ったのに
管轄外だって言って 相手にして
くれないのよ。"
ef04,"<X1e>神父<X04>
困ったことが あったら 何なりと
私に 話しなさい。"
ef3c,"<X1e>道具屋<X04>
お客さん、すみませんねえ。
うちの道具は お役所が みんな
買い占めちゃったんですよ。

次の入荷は いつになるのか
わかりませんねえ。"
